Row Labels,AIR 21 B1A B3P,AIR 3227 B78W,AIR 6449 B78W,Radio 2219 B8,Radio 4402 B3,Radio 4422 B78Q,Radio 4429 B3,Radio 4499 44B1 44B3 C,Radio 4499 44B3 44B7 C,RRUS 01 B1,RRUS 01 B3,RRUS 0Z B1,RRUS 0Z B3,RRUS 12 B3,RRUW B1,RUS 01 B1,RUS 01 B3,RUS 02 B3,B1,B3,B8,B20,B1+B8,B1+B20,B8+B3,B3 + B20,B1+B8+B20,B1+B20+B3,B1+B8+B3,B20+B8+B3
0306M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0307M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0308M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0310M,,,,,,,,,,,,,,,,3,3,2,3,5,0,0,0,0,0,0,0,0,0,0
0311M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0312M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0313M,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0315M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0316M,,,,,,,,,,,,,,,,2,3,3,2,6,0,0,0,0,0,0,0,0,0,0
0317M,,,,,,,,,,,,,,3,2,,,,2,3,0,0,0,0,0,0,0,0,0,0
0318M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0319M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0320M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0321M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0322M,,,,,,,,,3,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0324M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0325M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0326M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0327M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0328M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0329M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0330M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0331M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0332M,,,,,,,,,,,,,,,,3,1,5,3,6,0,0,0,0,0,0,0,0,0,0
0333M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0335M,,,,,,,,,,2,,,,3,,,,,2,3,0,0,0,0,0,0,0,0,0,0
0336M,,,,,,,,,,,,,,,,,3,2,0,5,0,0,0,0,0,0,0,0,0,0
0337M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0338M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0339M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0340M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0341M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0342M,,,,,,,3,,,2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0
0343M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0345M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0346M,,,,,,,,,2,,,,,1,3,,,,3,1,0,0,0,0,0,0,0,0,0,0
0347M,,,,,,,,,,,6,,,,3,,,,3,6,0,0,0,0,0,0,0,0,0,0
0348M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0349M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0351M,,,,,,,,,3,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0352M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0353M,,,,,,,,,,,,,,,,,6,,0,6,0,0,0,0,0,0,0,0,0,0
0354M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0355M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0356M,,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0358M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0359M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0360M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0361M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0362M,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0364M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0365M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0366M,,,,,,,1,,,3,,,,2,,,,,3,2,0,0,0,0,0,0,0,0,0,0
0367M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0368M,,,,,,,,,,3,,,,,,,6,,3,6,0,0,0,0,0,0,0,0,0,0
0369M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0370M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0371M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0372M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0373M,,,,,,,,,3,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0374M,,,,,,,3,,,2,,,,,1,,,,3,0,0,0,0,0,0,0,0,0,0,0
0375M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0376M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0377M,,,,,,,,,,,,,,3,,2,,,2,3,0,0,0,0,0,0,0,0,0,0
0378M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0379M,,,,,,,2,,,2,,,,1,,,,,2,1,0,0,0,0,0,0,0,0,0,0
0380M,,,,,,,,,,,,,,,,,3,3,0,6,0,0,0,0,0,0,0,0,0,0
0381M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0382M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0383M,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0388M,,,,,,,,,,2,,,,3,1,,,,3,3,0,0,0,0,0,0,0,0,0,0
0389M,,,,,,,,,,,,,,,,3,3,,3,3,0,0,0,0,0,0,0,0,0,0
0390M,,,,,,,,,,,6,,,,3,,,,3,6,0,0,0,0,0,0,0,0,0,0
0391M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0393M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0394M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0395M,,,,,,,,,,3,,,,,,,5,,3,5,0,0,0,0,0,0,0,0,0,0
0396M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0399M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0400M,3,,,,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0401M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0402M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0403M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0405M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0407M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0409M,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0410M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0412M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0413I,,,,,,,,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0
0414M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0415M,,,,,,,,,,,,3,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0417M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0418M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0419M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0420M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0421M,,,,,,,,,3,2,,,,,1,,,,3,0,0,0,0,0,0,0,0,0,0,0
0423M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0424M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0425M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0427M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0428M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0429M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0430M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0431M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0432M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0433M,,,,,,,,,,,,,,,,,6,,0,6,0,0,0,0,0,0,0,0,0,0
0434M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0435M,,,,,,,,,,3,6,,,,,,,,3,6,0,0,0,0,0,0,0,0,0,0
0436M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0438M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0439M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0440M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0441M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0443M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0444M,,,,,,,,,,,,,,,,,6,,0,6,0,0,0,0,0,0,0,0,0,0
0445M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0446M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0447M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0448M,3,,,,,,,,,,6,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0
0449M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0450M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0452M,,,,,,,,,,3,,,,,,,6,,3,6,0,0,0,0,0,0,0,0,0,0
0454M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0455M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0457M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0461M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0463M,,,,,,,,,,2,6,,,,,,,,2,6,0,0,0,0,0,0,0,0,0,0
0464M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0465M,,,,,,,,,,2,,,,3,,,,,2,3,0,0,0,0,0,0,0,0,0,0
0466M,,,,,,,,,,3,,,,2,,,,,3,2,0,0,0,0,0,0,0,0,0,0
0466ML,,,,,,,,,,,,,,1,,,,,0,1,0,0,0,0,0,0,0,0,0,0
0467M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0468M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0469M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0470M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0472M,,,,,,,,,,,6,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0
0474I,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0474M,,3,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0476M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0476U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0477M,,3,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0478M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0479U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0480U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0481U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0482U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0485M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0486M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0487M,3,,,,,,,,,,6,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0
0490M,3,,,,,,,,,,3,,,,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0491M,,,,,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0492M,3,,,,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0493M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0496M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0499M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0500M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0500ML,,,,,,,,,,,,,,,,,3,,0,3,0,0,0,0,0,0,0,0,0,0
0503M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0509M,3,,,,,,,,,,5,,,,,,,,0,5,0,0,0,0,0,0,0,0,0,0
0512M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0528M,,,,,,,,,,3,3,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0530M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0535M,,,,,,,2,,,,,,,1,,,,,0,1,0,0,0,0,0,0,0,0,0,0
0537M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0552M,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0558M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0559M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0560M,,,,,,,,,,3,6,,,,,,,,3,6,0,0,0,0,0,0,0,0,0,0
0564M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0568M,,,,,,,2,,,3,,,,1,,,,,3,1,0,0,0,0,0,0,0,0,0,0
0573M,3,,,,,,,,,,6,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0
0576M,,,,,,,,,,3,3,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0581M,,,,,,,3,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0586M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0592M,3,,,,,,,,,,5,,,,,,,,0,5,0,0,0,0,0,0,0,0,0,0
0595M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0596M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0600M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0605M,,,,,,,,,,,5,,,,3,,,,3,5,0,0,0,0,0,0,0,0,0,0
0606M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0609M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0620M,,,,,,,,,,3,6,,,,,,,,3,6,0,0,0,0,0,0,0,0,0,0
0623M,,,,,,,,,,3,6,,,,,,,,3,6,0,0,0,0,0,0,0,0,0,0
0630M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0638M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0716U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0721M,,,,,,,3,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0722M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0723M,,,,,,,2,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0724M,,,,,,,2,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0725M,,,,,,,2,,,,,,,1,,3,,,3,1,0,0,0,0,0,0,0,0,0,0
0726M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0727M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0728M,,,,,,,,3,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0738M,,,,1,,,,3,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
0741M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0744ML,,,,,,,,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0748M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0751M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0752M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0753M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0755M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0757M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0758M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0759M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0762M,,,,,,,,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0763ML,,,,,,,,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0763MM,,,,2,,,,2,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0
0800M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0803M,2,,,,,,3,,,,,,,,1,,,,1,0,0,0,0,0,0,0,0,0,0,0
0832M,,,,,,,2,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0833ML,,,,,,,,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0835M,,,,3,,,,3,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0
0861M,,,,,,,,,,,,,,1,1,,,,1,1,0,0,0,0,0,0,0,0,0,0
0871M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0874M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0876M,,,,,,,,,,,6,,,,3,,,,3,6,0,0,0,0,0,0,0,0,0,0
0877M,,,,,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0882M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0885I,,,,,,,,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0
0886I,,,,,,,,,,,,,,,,2,,,2,0,0,0,0,0,0,0,0,0,0,0
0888I,,,,,,,,,,,,,,,,2,,,2,0,0,0,0,0,0,0,0,0,0,0
0892I,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0896I,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0899I,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0908M,,,,,,,3,,,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0923M,3,,,,,,,,,,6,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0
0925M,,,,,,,,,,3,3,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0935M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0936M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0942I,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0944I,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0947M,,,,,,,2,,,3,,,,1,,,,,3,1,0,0,0,0,0,0,0,0,0,0
0949U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0950M,,,,,,,,,,,,,,,,3,,3,3,3,0,0,0,0,0,0,0,0,0,0
0951U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0968M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0969M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0971M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0972M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0973M,,,,,,,1,,3,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0975M,,,,,,,3,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0983M,,,,,,,,,,3,,,,2,,,,,3,2,0,0,0,0,0,0,0,0,0,0
1001M,,,,,,,,,3,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
1002M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
1010M,,,,,,,3,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
1018M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
1030M,,,,,,,,,,,,,,,1,,,,1,0,0,0,0,0,0,0,0,0,0,0
1043M,,,,,,,,,,,,,,4,3,,,,3,4,0,0,0,0,0,0,0,0,0,0
1065M,,,,,,,,,,1,,,,1,,,,,1,1,0,0,0,0,0,0,0,0,0,0
