Row Labels,AIR 21 B1A B3P,AIR 3227 B78W,AIR 6449 B78W,Radio 2219 B8,Radio 4402 B3,Radio 4422 B78Q,Radio 4429 B3,Radio 4499 44B1 44B3 C,Radio 4499 44B3 44B7 C,RRUS 01 B1,RRUS 01 B3,RRUS 0Z B1,RRUS 0Z B3,RRUS 12 B3,RRUW B1,RUS 01 B1,RUS 01 B3,RUS 02 B3,B1,B3,B8,B20,B1+B8,B1+B20,B8+B3,B3 + B20,B1+B8+B20,B1+B20+B3,B1+B8+B3,B20+B8+B3
0065M,,,,,,,3,,,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0066M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0067M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0068M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0069M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0070M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0071M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0073M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0074M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0077M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0078M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0079M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0080M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0081I,,,,,,,,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0
0081M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0082M,,,,,,,,,,,,,,,3,,6,,3,6,0,0,0,0,0,0,0,0,0,0
0083M,,,,,,,,,,1,,,,3,2,,,,3,3,0,0,0,0,0,0,0,0,0,0
0084M,,,,,,,,,,,,,,,,3,2,3,3,5,0,0,0,0,0,0,0,0,0,0
0085M,,,3,,,,,,,,,,,2,,3,,,3,2,0,0,0,0,0,0,0,0,0,0
0085U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0087M,,,,,,,3,,,2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0
0088M,3,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0089M,,,,,,,,,,2,,,,3,,,,,2,3,0,0,0,0,0,0,0,0,0,0
0090M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0091M,,,,,,,,,3,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0092M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0093M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0094M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0095M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0096M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0097M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0098M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0099M,,,,,,,,,3,2,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0
0100M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0101M,,,,,,,,,,,,,,3,2,,,,2,3,0,0,0,0,0,0,0,0,0,0
0102M,,,,,,,,,,,,,,,,3,3,,3,3,0,0,0,0,0,0,0,0,0,0
0103M,,,,,,,3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0104M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0105M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0106M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0107M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0108M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0109M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0110M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0114M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0115M,,,,,,3,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0116M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0119M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0120M,,,,,,,,,,2,,,,3,,,,,2,3,0,0,0,0,0,0,0,0,0,0
0122M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0123M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0124M,,,,,,,,,,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0125M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0126M,,,,,,,,,3,,,,,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0
0127M,,,,,,,,,,,,,,3,2,,,,2,3,0,0,0,0,0,0,0,0,0,0
0128M,,,,,,,,,,,,,,,,3,,3,3,3,0,0,0,0,0,0,0,0,0,0
0129M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0130M,,,,,,,,,,2,,,,3,1,,,,3,3,0,0,0,0,0,0,0,0,0,0
0131M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0132M,,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0133M,,,,,,,,,3,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0134M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0135I,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0136M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0138M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0140M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0141M,,,,,,,,,,1,,,,3,3,,,,4,3,0,0,0,0,0,0,0,0,0,0
0142M,,,,,,,,,,,6,,,,3,,,,3,6,0,0,0,0,0,0,0,0,0,0
0143M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0144M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0145M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0146M,,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0147M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0149M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0150M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0151M,,,,,,,,,,2,3,,,,1,,,,3,3,0,0,0,0,0,0,0,0,0,0
0153M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0154M,,,,,,,,,2,2,,,,1,1,,,,3,1,0,0,0,0,0,0,0,0,0,0
0155M,,,,,,,,,,2,,,,3,1,,,,3,3,0,0,0,0,0,0,0,0,0,0
0156M,,,,,,,,,,,,,,,3,,6,,3,6,0,0,0,0,0,0,0,0,0,0
0157M,,,,,,,,,3,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0158M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0159M,,,,,,,,,,1,,,,3,2,,,,3,3,0,0,0,0,0,0,0,0,0,0
0160M,,,,,,,,,,,,,,3,2,,,,2,3,0,0,0,0,0,0,0,0,0,0
0161M,,,,,,,2,,,3,,,,1,,,,,3,1,0,0,0,0,0,0,0,0,0,0
0162M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0163M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0164M,,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0165M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
